,num_sim,potential,iteration
0,0,0.0,1282
1,1,0.0,1734
2,2,0.0,457
3,3,0.0,2353
4,4,0.0,3262
5,5,0.0,2648
6,6,0.0,523
7,7,0.0,1840
8,8,0.0,976
9,9,0.0,2605
10,10,0.0,1386
11,11,0.0,1426
12,12,0.0,1238
13,13,0.0,4539
14,14,0.0,51
15,15,0.0,532
16,16,0.0,1164
17,17,0.0,1121
18,18,0.0,2785
19,19,0.0,212
20,20,0.0,1289
21,21,0.0,1303
22,22,0.0,2491
23,23,0.0,656
24,24,0.0,1501
25,25,0.0,1418
26,26,0.0,1566
27,27,0.0,813
28,28,0.0,584
29,29,0.0,1948
30,30,0.0,306
31,31,0.0,953
32,32,0.0,1692
33,33,0.0,1715
34,34,0.0,1723
35,35,0.0,4446
36,36,0.0,577
37,37,0.0,510
38,38,0.0,71
39,39,0.0,661
40,40,0.0,503
41,41,0.0,1470
42,42,0.0,3597
43,43,0.0,258
44,44,0.0,497
45,45,0.0,255
46,46,0.0,1569
47,47,0.0,1976
48,48,0.0,317
49,49,0.0,929
50,50,0.0,1728
51,51,0.0,3771
52,52,0.0,67
53,53,0.0,840
54,54,0.0,148
55,55,0.0,376
56,56,0.0,3289
57,57,0.0,961
58,58,0.0,529
59,59,0.0,292
60,60,0.0,175
61,61,0.0,230
62,62,0.0,142
63,63,0.0,124
64,64,0.0,1822
65,65,0.0,381
66,66,0.0,868
67,67,0.0,243
68,68,0.0,3048
69,69,0.0,797
70,70,0.0,685
71,71,0.0,3690
72,72,0.0,163
73,73,0.0,2428
74,74,0.0,222
75,75,0.0,817
76,76,0.0,821
77,77,0.0,214
78,78,0.0,1323
79,79,0.0,645
80,80,0.0,2462
81,81,0.0,917
82,82,0.0,372
83,83,0.0,165
84,84,0.0,4962
85,85,0.03125,4999
86,86,0.0,2013
87,87,0.0,2929
88,88,0.0,2745
89,89,0.0,796
90,90,0.21875,4999
91,91,0.0,394
92,92,0.0,2862
93,93,0.0,2915
94,94,0.0,527
95,95,0.0,3840
96,96,0.0,380
97,97,0.0,1668
98,98,0.0,254
99,99,0.0,526
100,100,0.0,1298
101,101,0.0,1534
102,102,0.0,514
103,103,0.0,1508
104,104,0.0,689
105,105,0.0,2209
106,106,0.0,3149
107,107,0.0,4276
108,108,0.0,741
109,109,0.0,463
110,110,0.0,1236
111,111,0.0,4348
112,112,0.0,2505
113,113,0.0,1237
114,114,0.0,118
115,115,0.0,81
116,116,0.0,1793
117,117,0.0,159
118,118,0.0,414
119,119,0.0,1504
120,120,0.0,971
121,121,0.0,1532
122,122,0.0,1435
123,123,0.0,1095
124,124,0.0,36
125,125,0.0,2303
126,126,0.0,755
127,127,0.0,1274
128,128,0.0,1126
129,129,0.0,1893
130,130,0.0,50
131,131,0.0,329
132,132,0.0,2692
133,133,0.0,2363
134,134,0.0,2135
135,135,0.0,260
136,136,0.0,42
137,137,0.0,2487
138,138,0.0,382
139,139,0.0,887
140,140,0.0,1529
141,141,0.0,422
142,142,0.0,74
143,143,0.03125,4999
144,144,0.0,484
145,145,0.0,2660
146,146,0.0,2534
147,147,0.0,2082
148,148,0.0,1693
149,149,0.0,3481
150,150,0.0,4056
151,151,0.0,737
152,152,0.0,1211
153,153,0.0,789
154,154,0.0,635
155,155,0.0,1848
156,156,0.0,420
157,157,0.0,50
158,158,0.0,4420
159,159,0.0,567
160,160,0.0,992
161,161,0.0,949
162,162,0.0,1294
163,163,0.0,2409
164,164,0.0,474
165,165,0.21875,4999
166,166,0.0,721
167,167,0.0,3669
168,168,0.0,88
169,169,0.0,1691
170,170,0.0,493
171,171,0.0,66
172,172,0.0,28
173,173,0.0,3277
174,174,0.0,981
175,175,0.0,212
176,176,0.0,591
177,177,0.0,1631
178,178,0.0,2172
179,179,0.0,459
180,180,0.0,1288
181,181,0.0,1167
182,182,0.0,532
183,183,0.0,20
184,184,0.0,343
185,185,0.0,1118
186,186,0.0,2957
187,187,0.0,377
188,188,0.0,3041
189,189,0.0,990
190,190,0.0,879
191,191,0.0,4892
192,192,0.0,523
193,193,0.0,275
194,194,0.0,3770
195,195,0.0,750
196,196,0.0,623
197,197,0.0,820
198,198,0.0,139
199,199,0.0,419
